AREA,PERIMETER,ECO_US_,ECO_US_ID,ECOCODE,DOMAIN,DIVISION,PROVINCE,SECTION
894884992,236636.84,2,17,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
221730608,94848.617,3,171,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
5848493,13632.412,4,172,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
7127738.5,14192.126,5,173,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
17286422,19903.473,6,174,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
120000000,3107817,7,2,M121A,POLAR DOMAIN,Tundra Regime Mountains,Brooks Range Tundra-Polar Desert Province,Foothills Section
204322.43,1809.923,8,175,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
195433.56,1657.395,9,176,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
193386.59,1915.265,10,177,M121A,POLAR DOMAIN,Tundra Regime Mountains,Brooks Range Tundra-Polar Desert Province,Foothills Section
192222.65,1767.296,11,178,M121A,POLAR DOMAIN,Tundra Regime Mountains,Brooks Range Tundra-Polar Desert Province,Foothills Section
14869546,57983.949,12,179,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
8670955,43585.398,13,180,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
2380932,12132.211,14,181,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
645551.81,3905.997,15,182,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
13523011,50757.969,16,183,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
1224362.2,7114.129,17,184,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
482000000,3172369.5,18,1,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
10960255,55645.199,19,185,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
12107537,50668.77,20,186,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
3484947.2,16365.339,21,187,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
2265940.7,9923.333,22,188,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
6380668,20557.703,23,189,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
6038466,24334.57,24,191,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
595698.56,3680.865,25,192,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
956964.31,3965.706,26,193,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
531659.93,3344.026,27,194,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
495581.62,2909.136,28,195,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
