SAMPLE,OTU,ABUNDANCE
NTP23,386-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP36,3504-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP24,9336-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP6,14715-Root; k__Bacteria; p__GN02; c__GKS2-174; o__; f__,1
NTP7,14890-Root; k__Bacteria; p__Chloroflexi; c__Chloroflexi; o__Roseiflexales; f__,1
NTP1,19-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,6
NTP10,19-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,16
NTP11,19-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,2
NTP12,19-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,2
NTP13,19-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,29
NTP14,19-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,26
NTP18,19-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP23,19-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,32
NTP24,19-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,11
NTP25,19-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,22
NTP26,19-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,7
NTP27,19-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,21
NTP28,19-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,13
NTP29,19-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,17
NTP33,19-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,4
NTP34,19-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,3
NTP36,19-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,15
NTP38,19-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,3
NTP39,19-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,8
NTP7,19-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,6
NTP9,19-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,6
NTP27,974-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,2
NTP33,974-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,2
NTP34,974-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP38,974-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,2
NTP13,1125-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,2
NTP25,1125-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP29,1125-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP27,1186-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP10,1207-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,2
NTP14,1207-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP27,1207-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,3
NTP14,2061-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP33,2061-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,2
NTP1,2249-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP10,2249-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,2
NTP14,2249-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP23,2249-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,5
NTP24,2249-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP25,2249-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP26,2249-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP27,2249-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP29,2249-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,2
NTP26,2400-Root; k__Archaea; p__Euryarchaeota,1
NTP12,2601-Root; k__Archaea; p__Crenarchaeota; c__Sd-NA; o__NRP-J; f__,1
NTP27,2704-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP11,2760-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP14,2760-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP18,2760-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP22,2760-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP27,2760-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,3
NTP36,2760-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP9,2760-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP1,2797-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP34,2797-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP36,2797-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP22,2799-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,2
NTP24,2799-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,6
NTP39,2799-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,3
NTP33,2832-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,2
NTP34,5919-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP10,163-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP11,163-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,2
NTP12,163-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP13,163-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,7
NTP14,163-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,4
NTP22,163-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP25,163-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP27,163-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP29,163-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP3,163-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,2
NTP33,163-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,2
NTP36,163-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,3
NTP39,163-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP5,163-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP6,163-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP7,163-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP8,163-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP9,163-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP10,1666-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,2
NTP14,1666-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP18,1666-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP23,1666-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,3
NTP27,1666-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP32,1666-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,2
NTP36,1666-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,3
NTP38,1666-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP39,1666-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP6,1666-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP7,1666-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP33,2780-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP27,2801-Root; k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae,1
NTP3,40-Root; k__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__E2,1
NTP14,962-Root; k__Archaea; p__Euryarchaeota; c__Thermoplasmata,1
NTP1,6-Root; k__Bacteria; p__Nitrospirae; c__Nitrospira; o__Nitrospirales; f__Nitrospiraceae,1
NTP36,6-Root; k__Bacteria; p__Nitrospirae; c__Nitrospira; o__Nitrospirales; f__Nitrospiraceae,4
NTP3,46-Root; k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae,3
NTP36,46-Root; k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae,1
NTP12,73-Root; k__Bacteria; p__Chloroflexi; c__Thermomicrobia; o__HN1-15; f__,1
NTP14,99-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP13,101-Root; k__Bacteria,2
NTP2,102-Root; k__Bacteria; p__Planctomycetes; c__Planctomycea,1
NTP23,102-Root; k__Bacteria; p__Planctomycetes; c__Planctomycea,1
NTP13,200-Root; k__Bacteria; p__Chloroflexi; c__Thermomicrobia; o__HN1-15; f__,1
NTP25,200-Root; k__Bacteria; p__Chloroflexi; c__Thermomicrobia; o__HN1-15; f__,1
NTP27,204-Root; k__Bacteria; p__Planctomycetes; c__Planctomycea; o__Gemmatales; f__Gemmataceae,1
NTP34,204-Root; k__Bacteria; p__Planctomycetes; c__Planctomycea; o__Gemmatales; f__Gemmataceae,1
NTP6,204-Root; k__Bacteria; p__Planctomycetes; c__Planctomycea; o__Gemmatales; f__Gemmataceae,1
NTP5,254-Root; k__Bacteria; p__Chloroflexi,1
NTP25,264-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,1
NTP33,264-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,1
NTP3,289-Root; k__Bacteria; p__Armatimonadetes; c__S1a-1H; o__; f__,1
NTP7,289-Root; k__Bacteria; p__Armatimonadetes; c__S1a-1H; o__; f__,1
NTP3,295-Root; k__Bacteria; p__Armatimonadetes; c__S1a-1H; o__; f__,1
NTP16,300-Root; k__Bacteria; p__Chloroflexi; c__Thermomicrobia; o__HN1-15; f__,1
NTP7,300-Root; k__Bacteria; p__Chloroflexi; c__Thermomicrobia; o__HN1-15; f__,1
NTP25,301-Root; k__Bacteria,1
NTP25,302-Root; k__Bacteria; p__Acidobacteria; c__RB25; o__; f__,1
NTP1,306-Root; k__Bacteria; p__Chloroflexi; c__Thermomicrobia; o__HN1-15; f__,1
NTP2,306-Root; k__Bacteria; p__Chloroflexi; c__Thermomicrobia; o__HN1-15; f__,1
NTP23,306-Root; k__Bacteria; p__Chloroflexi; c__Thermomicrobia; o__HN1-15; f__,1
NTP38,306-Root; k__Bacteria; p__Chloroflexi; c__Thermomicrobia; o__HN1-15; f__,1
NTP3,308-Root; k__Bacteria; p__Armatimonadetes; c__5B-18; o__; f__,1
NTP10,342-Root; k__Bacteria; p__Planctomycetes; c__Planctomycea; o__Gemmatales; f__Gemmataceae,1
NTP6,346-Root; k__Bacteria,1
NTP8,346-Root; k__Bacteria,1
NTP10,380-Root; k__Bacteria; p__Planctomycetes; c__Planctomycea; o__Gemmatales; f__Gemmataceae,1
NTP18,425-Root; k__Bacteria; p__Chloroflexi; c__Bljii12; o__AKYG885; f__5B-12,1
NTP3,425-Root; k__Bacteria; p__Chloroflexi; c__Bljii12; o__AKYG885; f__5B-12,2
NTP4,425-Root; k__Bacteria; p__Chloroflexi; c__Bljii12; o__AKYG885; f__5B-12,2
NTP3,442-Root; k__Bacteria,1
NTP8,444-Root; k__Bacteria,1
NTP34,468-Root; k__Bacteria; p__SPAM; c__0319-6G9; o__; f__,1
NTP36,468-Root; k__Bacteria; p__SPAM; c__0319-6G9; o__; f__,2
NTP34,475-Root; k__Bacteria,1
NTP14,505-Root; k__Bacteria; p__Planctomycetes; c__Planctomycea; o__Gemmatales; f__Gemmataceae,2
NTP36,542-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,1
NTP9,543-Root; k__Bacteria,1
NTP10,554-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,1
NTP4,554-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,1
NTP6,554-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,1
NTP21,557-Root; k__Bacteria; p__Acidobacteria; c__Chloracidobacteria; o__; f__,1
NTP22,557-Root; k__Bacteria; p__Acidobacteria; c__Chloracidobacteria; o__; f__,1
NTP33,598-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__MIZ46; f__,1
NTP13,607-Root; k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__0319-7L14; f__,1
NTP16,607-Root; k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__0319-7L14; f__,1
NTP9,607-Root; k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__0319-7L14; f__,1
NTP36,615-Root; k__Bacteria; p__Chloroflexi; c__Bljii12,2
NTP27,624-Root; k__Bacteria,1
