SampleID,SequenceArchiveAccession,Longitude,Latitude,Elevation,Date,Month,Day,Year,JulianDayNumber,MeanAnnualPrecip,MeanAnnualTemp,CDI,OrganicC,TotalN,SoilCN,PH,Sand,Silt,Clay,TexturalClass,SiltPlusClay,BulkDensity,H2OContentFieldMoisture,TotalCMineralized,CMineralized50d,CMineralized228d,BacterialFungalRatio,SIRBiomass,PcoA1,PcoA1Metagen,ShannonMetagen,FructoseMannoseRelAbund,CellDivisionRelAbund,NitrogenRelAbund,PeroxisomeRelAbund,PentosePhosphateRelAbund,LFructoseMannoseRelAbund,LCellDivisionRelAbund,LNitrogenRelAbund,LPeroxisomeRelAbund,LPentosePhosphateRelAbund,frsMomeanCRURaster,preMomeanCRURaster,tmpMomeanCRURaster,wetMomeanCRURaster,OriginalNumberOfReads,NumberOfReads,NumberOfRarefactions,NumberOfUnclassifiedReads,ShannonDiversity,Richness,ChaoRichness,LogRichness,LogShannonDiversity,LogitRelAbundance
NTP1,Riesel TX,-96.882,31.482,0.05,2012/07/15,7,15,2012,2456124,847,18.9,0.915,3.537,0.269,13.154,7.46,19.8,30.57,49.63,Clay,80.2,1.151,0.62945590994371,1060.43779304028,304.155165346114,756.282627694171,720.135844528994,11.4826880971511,29.697,-0.162121644949,18.14935772736,0.00987767092234,0.00041575498982,0.01834905817839,0.00071497719417,0.01352356905933,-4.50419051584908,-6.51451310617147,-3.92221431256618,-6.3300319836151,-4.21290237454995,0.0,47.0,29.82000160217285,3.9679996967315674,940.0,940,1,618.0,2.092678989992271,117.0,204.36363636363637,2.0718820073061255,0.3409750552618484,-0.6472167006827312
NTP10,Spring Creek NE,-96.855,40.685,0.05,2012/07/15,7,15,2012,2456124,721,10.6,0.689,3.139,0.275,11.421,6.52,38.71,41.32,19.97,Loam,61.29,1.31,0.40719696969697,3276.33582459332,983.793508074305,2292.54231651902,205.223033124122,24.5355232070609,1.197,0.00645533297477,18.13699293988,0.01004738506594,0.0004062604288,0.01813706435918,0.00071037416987,0.01367200635129,-4.48862692808204,-6.52096033676658,-3.93341080545627,-6.33262765179783,-4.20262743223361,0.0,115.8699951171875,24.360000610351562,10.618998527526855,940.0,940,1,722.0,1.5426116598795983,105.0,237.03125,2.0253058652647704,0.21553490128893116,-1.1915674074684484
NTP11,9 Mile NE,-96.807,40.868,0.05,2012/07/15,7,15,2012,2456124,721,10.6,0.684,2.919,0.246,11.882,7.2,36.49,45.75,17.76,Loam,63.51,1.296,0.32504440497336,1888.82104905957,540.937710387902,1347.88333867167,138.681032745309,19.6101516800277,-8.1363,0.071810610831,18.04692857764,0.01020651066757,0.00038609296885,0.01719669359086,0.00074232585411,0.01418771593749,-4.47424641044184,-6.53479402072501,-3.98458443709875,-6.3147468588456,-4.16770537527261,0.0,115.8699951171875,24.360000610351562,10.618998527526855,940.0,940,1,762.0,1.2922556623649977,95.0,203.78125,1.9822712330395684,0.14371899286014275,-1.447247552020931
NTP12,Dinesen IA,-95.282,41.708,0.05,2012/07/15,7,15,2012,2456124,848,8.7,0.65,3.026,0.246,12.319,6.79,20.94,61.18,17.87,Silt Loam,79.06,1.237,0.34166103983795,2187.33648799152,759.541822202782,1427.79466578873,268.871341740675,18.0348245967065,-4.4389,0.0463938259933,18.10155330508,0.01014433515748,0.00037446260494,0.01699118646068,0.00071876860381,0.01401609625121,-4.47984130362039,-6.54285938009716,-3.99611172745134,-6.32789901974991,-4.17919603673792,0.16999998688697815,110.24000549316406,22.560001373291016,10.744999885559082,940.0,940,1,772.0,1.2309574079622327,90.0,165.11111111111111,1.9590413923210936,0.12416415781656719,-1.517789658640256
NTP13,Pokorny NE,-97.11,41.608,0.05,2012/07/15,7,15,2012,2456124,724,10.2,0.619,3.744,0.353,10.6,6.14,19.88,66.94,13.18,Silt Loam,80.12,0.959,0.29496951219512,2271.58957869194,741.306305340419,1530.28327335152,314.474110808434,26.7406738382889,-15.474,0.0685854601257,17.98203911642,0.01026220795846,0.00035321358371,0.01686589269868,0.00073148094917,0.01447482240335,-4.46926031287605,-6.55776466283126,-4.00320306163296,-6.32078023558226,-4.14876402702076,9.999999310821295E-4,100.50999450683594,23.090002059936523,9.953999519348145,940.0,940,1,792.0,1.0925996922872094,84.0,171.78125,1.9294189257142926,0.07649469295372162,-1.6693516618221946
NTP14,Friberg NE,-97.265,41.955,0.05,2012/07/15,7,15,2012,2456124,732,9.1,0.581,2.919,0.281,10.373,6.71,27.72,53.61,18.68,Silt Loam,72.28,1.047,0.23544145272386,2521.90771935451,880.275673081337,1641.63204627318,219.603808969465,22.2280385482312,4.5889,0.00688838420246,18.08295279318,0.01013039009856,0.00038892530265,0.01731972649442,0.00068083080537,0.01387213918506,-4.48110036881127,-6.53283965203275,-3.9777440605111,-6.34944906076855,-4.18893431631883,9.999999310821295E-4,100.50999450683594,23.090002059936523,9.953999519348145,940.0,940,1,701.0,1.653519317885503,106.0,202.1,2.0293837776852097,0.24391055470846118,-1.0704414117014136
NTP16,Kalsow IA,-94.56,42.568,0.05,2012/07/15,7,15,2012,2456124,823,7.8,0.629,5.209,0.392,13.285,7.11,54.48,32.21,13.31,Sandy Loam,45.52,0.869,0.41896435776732,1903.36436057196,495.305293597296,1408.05906697467,358.750304596367,18.8280313464646,-13.302,0.0544455948417,17.9282933975,0.0104668292992,0.00036904186732,0.01728185195159,0.00077620073501,0.015177991541,-4.45114813097063,-6.54664079911587,-3.97984500909536,-6.29613139386223,-4.10379063426918,9.999999310821295E-4,113.75,21.790000915527344,10.93899917602539,940.0,940,1,776.0,1.1997126979476274,87.0,147.025,1.9444826721501687,0.11384736193329177,-1.5469175554527665
NTP18,Steele IA,-95.578,42.88,0.05,2012/07/15,7,15,2012,2456124,737,8,0.6,5.104,0.437,11.673,6.67,23.84,58.77,17.39,Silt Loam,76.16,0.826,0.37361923326836,3435.59837813794,1048.39403215358,2387.20434598436,207.177387711557,28.0051523933578,-6.2013,0.0328005510582,18.0711448143,0.01016372709656,0.0003868132016,0.01756531361931,0.00072800767236,0.01451915965674,-4.4780930248612,-6.53429668407648,-3.96422322316243,-6.32272022717655,-4.14586969943702,0.15000000596046448,96.23999786376953,21.85999870300293,10.36299991607666,940.0,940,1,734.0,1.468738709693646,97.0,173.5,1.9912260756924949,0.1955506131929902,-1.2644269086212823
NTP2,Clymer TX,-96.227,33.308,0.05,2012/07/15,7,15,2012,2456124,1110,17.2,0.913,2.862,0.222,12.868,6.97,14.79,29.25,55.97,Clay,85.21,1.285,0.32914201183432,1475.05654924443,481.859682735149,993.196866509283,346.604432125492,10.4087963977842,24.3,-0.146516964785,18.17597838168,0.00984669105114,0.00043700253533,0.01856622127446,0.00071737934165,0.01362916052797,-4.50705726366533,-6.50023348335741,-3.9108683898543,-6.32868006202911,-4.2055827468175,0.0,61.43000411987305,28.580001831054688,5.078999996185303,940.0,940,1,664.0,1.791704910424436,97.0,188.125,1.9912260756924949,0.27685339117285107,-0.8727574839985239
NTP21,Hayden IA,-92.383,43.442,0.05,2012/07/15,7,15,2012,2456124,905,6.7,0.575,5.506,0.44,12.517,6.85,49.59,42.47,7.94,Loam,50.41,0.905,0.51363301400147,2174.5244758148,725.771976804022,1448.75249901078,102.288662174758,21.9693417509261,-22.662,0.0864959160165,17.86064178068,0.01078460524297,0.00036037666035,0.01704893040059,0.00081789188552,0.01455620158057,-4.42364029792443,-6.55271527767307,-3.99285980204534,-6.27368464349996,-4.14345781690934,0.0,139.99000549316406,21.459999084472656,11.166999816894531,940.0,940,1,812.0,0.9546556447267774,72.0,136.65384615384616,1.863322860120456,0.023110681427702486,-1.8384556497537408
